run,backbone,alignment,uniformity,anisotropy,cka_vs_pretrained,proto_cos_mean,proto_cos_std,sts_b_dev_spearman
r1a_t010_fixed,answerdotai/ModernBERT-base,0.11131088435649872,-0.40991562604904175,0.6247695684432983,0.7654381088876357,0.08022969216108322,0.19295215606689453,0.5891033369343783
r1a_t010_fixed_seed43,answerdotai/ModernBERT-base,0.11734363436698914,-0.4029175341129303,0.6424892544746399,0.7938056946697895,0.0606926754117012,0.17782168090343475,0.5765350223803151
r1b_t025_fixed,answerdotai/ModernBERT-base,0.131286159157753,-0.46457454562187195,0.5797885060310364,0.756803450582583,0.0801275372505188,0.19674701988697052,0.5993647882833704
r1b_t025_fixed_seed43,answerdotai/ModernBERT-base,0.12276682257652283,-0.41437822580337524,0.6342145800590515,0.7704743301997778,0.0538780614733696,0.17635126411914825,0.57269789985402
r1c_t050_fixed,answerdotai/ModernBERT-base,0.1511489301919937,-0.5243065357208252,0.5435211062431335,0.7341820760516171,0.053146716207265854,0.18396857380867004,0.6085163581669002
r1c_t050_fixed_seed43,answerdotai/ModernBERT-base,0.16456204652786255,-0.6120812892913818,0.48572999238967896,0.6842845239873231,0.04845684394240379,0.17036201059818268,0.6410169298875614
r2_anchor_curriculum,answerdotai/ModernBERT-base,0.06837638467550278,-0.184439554810524,0.8975687026977539,0.6824930332062319,-0.0004206867888569832,0.06480430066585541,0.4840118678555104
r2_anchor_curriculum_ext3000,answerdotai/ModernBERT-base,0.16332583129405975,-0.4862821698188782,0.5654550194740295,0.5651971648341811,0.26366859674453735,0.2637896239757538,0.4967550745553674
r2_anchor_curriculum_seed43,answerdotai/ModernBERT-base,0.14103293418884277,-0.4585709571838379,0.6286358833312988,0.7805505632528316,0.053668130189180374,0.17879913747310638,0.5780878721059726
r2_bert_anchor_curriculum,bert-base-uncased,1.8443046201355173e-07,-2.3841860752327193e-07,0.9999999403953552,0.21410155483361815,0.0010153072653338313,0.08017909526824951,0.09611967440624526
r2_bert_anchor_curriculum_seed43,bert-base-uncased,4.4405251638278756e-14,0.0,1.0,0.17719032921305267,0.00200675125233829,0.07191997766494751,-0.011990868530900329
r2_bert_lr1e4,bert-base-uncased,0.2802294194698334,-0.8498023152351379,0.3462420403957367,0.7586394160611676,0.0036094768438488245,0.13675327599048615,0.5265042850507614
r2_bert_lr3e5,bert-base-uncased,0.22130894660949707,-0.7410168647766113,0.4996281862258911,0.8764858882957837,0.0006823925650678575,0.07930959761142731,0.5718334710521649
r2_bert_lr3e5_warmup30,bert-base-uncased,0.22626930475234985,-0.7540540099143982,0.4896090626716614,0.887560815725246,0.0005908232997171581,0.07899793982505798,0.580103353430013
r2_bert_lr5e5,bert-base-uncased,0.24910466372966766,-0.8000584840774536,0.43999725580215454,0.826803378500568,0.0016086067771539092,0.09905873984098434,0.5625937732232567
r3_consistency_curriculum,answerdotai/ModernBERT-base,0.125241219997406,-0.43566086888313293,0.6003695130348206,0.7468878797548749,0.08108432590961456,0.19393664598464966,0.5924743445270667
r3_consistency_curriculum_seed43,answerdotai/ModernBERT-base,0.12017606198787689,-0.41847553849220276,0.6262357234954834,0.7878702599441806,0.06704455614089966,0.1793762892484665,0.5768056492754524
r4_anchor_curriculum_velocity,answerdotai/ModernBERT-base,0.1328205019235611,-0.47353166341781616,0.5773401260375977,0.7746157792865339,0.08106951415538788,0.19549445807933807,0.6111576575008373
r4_anchor_curriculum_velocity_ext3000,answerdotai/ModernBERT-base,0.11294785887002945,-0.42072293162345886,0.6213054656982422,0.7117499219045879,0.2326786071062088,0.25308486819267273,0.5309095228969348
