run,step,H_p_bar_t,H_pt,KL_pt_ps,L_iso,L_iso_cov,L_iso_mean,batch_KL,grad_norm_total,infonce_acc,loss,lr,neg_cos,pos_cos,teacher_momentum,teacher_temp
simcse_repro_1epoch_s42,470,,,,,,,,0.0091,1.0,0.0002,2.91e-05,0.0492,0.794,,
simcse_repro_1epoch_s42,480,,,,,,,,0.019,1.0,0.0002,2.91e-05,0.0415,0.8074,,
simcse_repro_1epoch_s42,490,,,,,,,,0.0064,1.0,0.0002,2.9e-05,0.0444,0.8026,,
simcse_repro_1epoch_s42,500,,,,,,,,0.0075,1.0,0.0001,2.9e-05,0.0386,0.807,,
simcse_repro_1epoch_s42,510,,,,,,,,0.083,1.0,0.0008,2.9e-05,0.0384,0.8019,,
simcse_repro_1epoch_s42,520,,,,,,,,0.0739,1.0,0.0004,2.9e-05,0.0388,0.7934,,
simcse_repro_1epoch_s42,530,,,,,,,,0.0094,1.0,0.0002,2.9e-05,0.0428,0.7935,,
simcse_repro_1epoch_s42,540,,,,,,,,0.006,1.0,0.0001,2.89e-05,0.0379,0.7993,,
simcse_repro_1epoch_s42,550,,,,,,,,0.024,1.0,0.0002,2.89e-05,0.0358,0.7911,,
simcse_repro_1epoch_s42,560,,,,,,,,0.0216,1.0,0.0003,2.89e-05,0.0351,0.7892,,
simcse_repro_1epoch_s42,570,,,,,,,,0.0357,1.0,0.0004,2.89e-05,0.0349,0.8054,,
simcse_repro_1epoch_s42,580,,,,,,,,0.0318,1.0,0.0004,2.89e-05,0.0377,0.8018,,
simcse_repro_1epoch_s42,590,,,,,,,,0.0113,1.0,0.0002,2.88e-05,0.0331,0.787,,
simcse_repro_1epoch_s42,600,,,,,,,,0.0117,1.0,0.0002,2.88e-05,0.0412,0.7987,,
simcse_repro_1epoch_s42,610,,,,,,,,0.0379,1.0,0.0005,2.88e-05,0.0482,0.8039,,
simcse_repro_1epoch_s42,620,,,,,,,,0.0076,1.0,0.0002,2.88e-05,0.0542,0.7999,,
simcse_repro_1epoch_s42,630,,,,,,,,0.0065,1.0,0.0001,2.88e-05,0.0517,0.8031,,
simcse_repro_1epoch_s42,640,,,,,,,,0.0225,1.0,0.0003,2.88e-05,0.0457,0.8001,,
simcse_repro_1epoch_s42,650,,,,,,,,0.8894,1.0,0.0032,2.87e-05,0.0431,0.7996,,
simcse_repro_1epoch_s42,660,,,,,,,,0.0156,1.0,0.0003,2.87e-05,0.0421,0.7936,,
simcse_repro_1epoch_s42,670,,,,,,,,0.0121,1.0,0.0002,2.87e-05,0.0356,0.8004,,
simcse_repro_1epoch_s42,680,,,,,,,,0.0127,1.0,0.0002,2.87e-05,0.0378,0.7956,,
simcse_repro_1epoch_s42,690,,,,,,,,0.0139,1.0,0.0001,2.87e-05,0.0347,0.7963,,
simcse_repro_1epoch_s42,700,,,,,,,,0.023,1.0,0.0003,2.86e-05,0.0338,0.7916,,
simcse_repro_1epoch_s42,710,,,,,,,,0.0043,1.0,0.0001,2.86e-05,0.0355,0.7951,,
simcse_repro_1epoch_s42,720,,,,,,,,0.0197,1.0,0.0003,2.86e-05,0.0311,0.7917,,
simcse_repro_1epoch_s42,730,,,,,,,,0.0024,1.0,0.0001,2.86e-05,0.0339,0.8073,,
simcse_repro_1epoch_s42,740,,,,,,,,0.0227,1.0,0.0003,2.86e-05,0.0336,0.7806,,
simcse_repro_1epoch_s42,750,,,,,,,,0.5032,1.0,0.0061,2.85e-05,0.0339,0.7955,,
simcse_repro_1epoch_s42,760,,,,,,,,0.006,1.0,0.0002,2.85e-05,0.0314,0.7969,,
simcse_repro_1epoch_s42,770,,,,,,,,0.009,1.0,0.0001,2.85e-05,0.0301,0.8005,,
simcse_repro_1epoch_s42,780,,,,,,,,0.0135,1.0,0.0002,2.85e-05,0.0322,0.7983,,
simcse_repro_1epoch_s42,790,,,,,,,,0.0264,1.0,0.0003,2.85e-05,0.0291,0.796,,
simcse_repro_1epoch_s42,800,,,,,,,,0.0029,1.0,0.0001,2.84e-05,0.0298,0.7976,,
simcse_repro_1epoch_s42,810,,,,,,,,0.0259,1.0,0.0004,2.84e-05,0.03,0.8064,,
simcse_repro_1epoch_s42,820,,,,,,,,0.005,1.0,0.0001,2.84e-05,0.0295,0.7964,,
simcse_repro_1epoch_s42,830,,,,,,,,0.0061,1.0,0.0001,2.84e-05,0.0279,0.8008,,
simcse_repro_1epoch_s42,840,,,,,,,,0.0068,1.0,0.0001,2.84e-05,0.028,0.7871,,
simcse_repro_1epoch_s42,850,,,,,,,,0.0079,1.0,0.0001,2.83e-05,0.0271,0.795,,
simcse_repro_1epoch_s42,860,,,,,,,,0.0023,1.0,0.0001,2.83e-05,0.0259,0.7978,,
simcse_repro_1epoch_s42,870,,,,,,,,0.022,1.0,0.0002,2.83e-05,0.0262,0.804,,
simcse_repro_1epoch_s42,880,,,,,,,,0.0041,1.0,0.0001,2.83e-05,0.0216,0.7868,,
simcse_repro_1epoch_s42,890,,,,,,,,0.0051,1.0,0.0001,2.83e-05,0.0262,0.7888,,
simcse_repro_1epoch_s42,900,,,,,,,,0.0103,1.0,0.0001,2.82e-05,0.0241,0.7939,,
simcse_repro_1epoch_s42,910,,,,,,,,0.0033,1.0,0.0001,2.82e-05,0.0238,0.7977,,
simcse_repro_1epoch_s42,920,,,,,,,,0.0046,1.0,0.0001,2.82e-05,0.0223,0.8018,,
simcse_repro_1epoch_s42,930,,,,,,,,0.0035,1.0,0.0001,2.82e-05,0.0247,0.7951,,
simcse_repro_1epoch_s42,940,,,,,,,,0.0242,1.0,0.0002,2.82e-05,0.0241,0.7877,,
simcse_repro_1epoch_s42,950,,,,,,,,0.0351,1.0,0.0004,2.81e-05,0.0222,0.7886,,
simcse_repro_1epoch_s42,960,,,,,,,,0.0031,1.0,0.0001,2.81e-05,0.0248,0.796,,
simcse_repro_1epoch_s42,970,,,,,,,,0.005,1.0,0.0001,2.81e-05,0.0204,0.7862,,
simcse_repro_1epoch_s42,980,,,,,,,,0.006,1.0,0.0001,2.81e-05,0.0217,0.7925,,
simcse_repro_1epoch_s42,990,,,,,,,,0.1305,1.0,0.0011,2.81e-05,0.0243,0.795,,
simcse_repro_1epoch_s42,1000,,,,,,,,0.0028,1.0,0.0001,2.81e-05,0.02,0.7904,,
simcse_repro_1epoch_s42,1010,,,,,,,,0.0054,1.0,0.0001,2.8e-05,0.0198,0.8005,,
simcse_repro_1epoch_s42,1020,,,,,,,,0.0103,1.0,0.0002,2.8e-05,0.0182,0.7873,,
simcse_repro_1epoch_s42,1030,,,,,,,,0.0025,1.0,0.0001,2.8e-05,0.022,0.797,,
simcse_repro_1epoch_s42,1040,,,,,,,,0.0035,1.0,0.0001,2.8e-05,0.021,0.7945,,
simcse_repro_1epoch_s42,1050,,,,,,,,0.0186,1.0,0.0002,2.8e-05,0.0222,0.7994,,
simcse_repro_1epoch_s42,1060,,,,,,,,0.0061,1.0,0.0001,2.79e-05,0.0219,0.7939,,
simcse_repro_1epoch_s42,1070,,,,,,,,0.0035,1.0,0.0001,2.79e-05,0.0203,0.7966,,
simcse_repro_1epoch_s42,1080,,,,,,,,0.0042,1.0,0.0001,2.79e-05,0.0217,0.801,,
simcse_repro_1epoch_s42,1090,,,,,,,,0.0042,1.0,0.0001,2.79e-05,0.0316,0.8017,,
simcse_repro_1epoch_s42,1100,,,,,,,,0.0096,1.0,0.0001,2.79e-05,0.0329,0.8045,,
simcse_repro_1epoch_s42,1110,,,,,,,,0.0042,1.0,0.0001,2.78e-05,0.0376,0.8005,,
simcse_repro_1epoch_s42,1120,,,,,,,,0.0326,1.0,0.0003,2.78e-05,0.0415,0.8016,,
simcse_repro_1epoch_s42,1130,,,,,,,,0.0253,1.0,0.0002,2.78e-05,0.0366,0.8037,,
simcse_repro_1epoch_s42,1140,,,,,,,,0.0028,1.0,0.0001,2.78e-05,0.0305,0.8044,,
simcse_repro_1epoch_s42,1150,,,,,,,,0.0065,1.0,0.0001,2.78e-05,0.031,0.7939,,
simcse_repro_1epoch_s42,1160,,,,,,,,0.0044,1.0,0.0001,2.77e-05,0.0335,0.8084,,
simcse_repro_1epoch_s42,1170,,,,,,,,0.005,1.0,0.0001,2.77e-05,0.0235,0.7973,,
